Bus Name,Bus Type,Start Time,End Time,Duration,Price,Seat Availability,Ratings,Route Name,Route Link
NBSTC -SLG-ROH-DJL-01-7:00 - 161760,Non AC Seater 2+2,07:00,10:00,03h 00m,INR 105,10 Seats available,"3.2
264",Siliguri to Darjeeling,https://www.redbus.in/bus-tickets/siliguri-to-darjeeling
NBSTC -SLG-ROH-DJL-02-8:00 - 158470,Non AC Seater 2+2,08:00,11:00,03h 00m,INR 105,4 Seats available,"3.7
279",Siliguri to Darjeeling,https://www.redbus.in/bus-tickets/siliguri-to-darjeeling
NBSTC-SLG-KOL-AC-18:45 - 176648,AC Seater (2+2),18:45,07:00,12h 15m,INR 1245,N/A,"5.0
2",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
NBSTC-SLG-KOL-AC-19:00 - 157844,AC Seater (2+2),19:00,07:00,12h 00m,INR 1245,N/A,"2.9
142",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
WBTC (CTC) KOLKATA-RAIGUNGE-SILIGURI(AC-VOLVO) - 195|18:30,Volvo AC Seater (2+2),18:30,06:15,11h 45m,INR 1355,N/A,"3.5
15",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
SBSTC-SILIGURI - KOLKATA - VOLVO - 19:35 (BEL DEPOT) - 3926,Volvo AC Seater (2+2),19:35,08:35,13h 00m,INR 1210,N/A,"3.9
100",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:25,12h 55m,INR 2800,N/A,"4.8
628",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
AdExpress Line,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),19:00,07:50,12h 50m,INR 2199,N/A,"4.4
534",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:10,12h 40m,INR 2499,N/A,"4.5
503",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),18:30,07:20,12h 50m,INR 1699,N/A,"4.4
683",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,07:45,12h 30m,INR 2700,N/A,"4.5
370",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,08:05,12h 50m,INR 2700,N/A,"4.6
183",Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
